Galbraith and Green A4,F
338.2,12.3
2500000,10000
120.6,22.2
107.6,17.4
84.7,8.7
106.9,33.2
86.1,18.9
82.7,12.9
102.9,18.4
150.4,41.3
136,30.7
127.2,29.6
106.3,16
104.8,19
110.7,15.9
99.1,12.2
89.6,24.7
117.9,21.7
94.8,16.2
105.7,21.2
103.1,29.7
105.8,22.8
105.6,20.3
58.7,25.6
93.7,15
128.8,36.8
78.9,15.5
