Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,11.39,3.6,16.07,3.2,14.72,3.2,,,,,,
48,4410,19.63,2.8,17.96,3,18.02,3,,,,,,
114,4410,44.29,1.9,71.39,1.5,58.42,1.6,,,,,,
13,4410,4.99,5.6,6.3,5,4.44,5.8,,,,,,
25,4410,12.26,3.6,9.76,4,9.65,4.2,,,,,,
49,4410,30.21,2.4,35.25,2.2,31.07,2.2,,,,,,
39,4410,25.91,2.4,15.4,3.2,23.13,2.6,,,,,,
18,1470,18.1,3,,,,,,,,,,
26,2940,25.06,2.6,14.93,3.2,,,,,,,,
24,1470,26.66,2.4,,,,,,,,,,
55,4410,22.6,2.6,13.98,3.4,26.44,2.4,,,,,,
38,2940,22.5,2.6,25.33,2.6,,,,,,,,
61,4410,21.88,2.8,22.48,2.6,27.53,2.4,,,,,,
82,4410,44.22,1.9,24.84,2.6,38.24,2,,,,,,
16,1470,13.46,3.4,,,,,,,,,,
38,2940,33.04,2.2,22.67,2.6,,,,,,,,
42,2940,29.96,2.4,31.53,2.2,,,,,,,,
31,4410,8.75,4.4,11.62,3.8,8.07,4.4,,,,,,
15,1470,22.52,2.6,,,,,,,,,,
27,1470,27.76,2.4,,,,,,,,,,
34,2940,20.43,2.8,16.7,3.2,,,,,,,,
6,1470,14.93,3.2,,,,,,,,,,
48,1470,60.43,1.6,,,,,,,,,,
16,1470,16.34,3.2,,,,,,,,,,
31,4410,19.83,2.8,15.71,3.2,13.29,3.4,,,,,,
