Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,0.2848,1.9,0.4017,1.5,0.368,1.6,,,,,,
48,4410,0.4907,1.4,0.4491,1.4,0.4506,1.6,,,,,,
114,4410,1.1073,0.948,1.7847,0.751,1.4605,0.828,,,,,,
13,4410,0.1246,2.8,0.1575,2.5,0.111,3,,,,,,
25,4410,0.3064,1.8,0.2439,2,0.2414,2,,,,,,
49,4410,0.7553,1.1,0.8813,1.1,0.7768,1.2,,,,,,
39,4410,0.6477,1.2,0.3851,1.6,0.5782,1.3,,,,,,
18,1470,0.4525,1.5,,,,,,,,,,
26,2940,0.6265,1.3,0.3733,1.6,,,,,,,,
24,1470,0.6665,1.3,,,,,,,,,,
55,4410,0.565,1.3,0.3496,1.7,0.661,1.3,,,,,,
38,2940,0.5624,1.3,0.6332,1.3,,,,,,,,
61,4410,0.5469,1.4,0.562,1.3,0.6882,1.2,,,,,,
82,4410,1.1055,0.95,0.6209,1.3,0.9559,1,,,,,,
16,1470,0.3365,1.6,,,,,,,,,,
38,2940,0.826,1.1,0.5669,1.3,,,,,,,,
42,2940,0.749,1.1,0.7883,1.1,,,,,,,,
31,4410,0.2188,2.1,0.2904,1.9,0.2018,2.2,,,,,,
15,1470,0.563,1.3,,,,,,,,,,
27,1470,0.6939,1.2,,,,,,,,,,
34,2940,0.5107,1.4,0.4176,1.6,,,,,,,,
6,1470,0.3732,1.6,,,,,,,,,,
48,1470,1.5108,0.814,,,,,,,,,,
16,1470,0.4085,1.6,,,,,,,,,,
31,4410,0.4958,1.4,0.3928,1.7,0.3323,1.8,,,,,,
