Galbraith and Green A4,F
350,10
2500000,10000
125,23
111,18
87,9
111,34
89,20
86,13
106,19
156,43
141,32
132,31
110,17
108,20
115,16
103,13
93,26
122,22
98,17
109,22
107,31
109,24
109,21
61,26
97,15
133,38
82,16
