Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,11.39,0.42,16.07,0.5,14.72,0.48,,,,,,
48,4410,19.63,0.56,17.96,0.54,18.02,0.54,,,,,,
114,4410,44.29,0.84,71.39,1.1,58.42,0.96,,,,,,
13,4410,4.99,0.28,6.3,0.32,4.44,0.26,,,,,,
25,4410,12.26,0.44,9.76,0.4,9.65,0.4,,,,,,
49,4410,30.21,0.7,35.25,0.76,31.07,0.7,,,,,,
39,4410,25.91,0.64,15.4,0.5,23.13,0.6,,,,,,
18,1470,18.1,0.54,,,,,,,,,,
26,2940,25.06,0.64,14.93,0.48,,,,,,,,
24,1470,26.66,0.66,,,,,,,,,,
55,4410,22.6,0.6,13.98,0.48,26.44,0.66,,,,,,
38,2940,22.5,0.6,25.33,0.64,,,,,,,,
61,4410,21.88,0.6,22.48,0.6,27.53,0.66,,,,,,
82,4410,44.22,0.84,24.84,0.64,38.24,0.78,,,,,,
16,1470,13.46,0.46,,,,,,,,,,
38,2940,33.04,0.72,22.67,0.6,,,,,,,,
42,2940,29.96,0.7,31.53,0.72,,,,,,,,
31,4410,8.75,0.38,11.62,0.44,8.07,0.36,,,,,,
15,1470,22.52,0.6,,,,,,,,,,
27,1470,27.76,0.66,,,,,,,,,,
34,2940,20.43,0.58,16.7,0.52,,,,,,,,
6,1470,14.93,0.48,,,,,,,,,,
48,1470,60.43,0.98,,,,,,,,,,
16,1470,16.34,0.52,,,,,,,,,,
31,4410,19.83,0.56,15.71,0.5,13.29,0.46,,,,,,
